problem,task_idx,seed,best_cost,best_cv,conv_file,conv_cv_file,bestx_file
CMT1,0,0,8.881784197001252e-16,0.0,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_conv.npy,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_bestx.npy
CMT1,1,0,5.684341886080801e-13,0.0,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_conv.npy,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed0_20251127T024228Z_bestx.npy
CMT1,0,1,0.0,0.0,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_conv.npy,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_bestx.npy
CMT1,1,1,2.2737367544323206e-13,0.0,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_conv.npy,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed1_20251127T024235Z_bestx.npy
CMT1,0,2,0.0,0.0,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_conv.npy,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_bestx.npy
CMT1,1,2,3.979039320256561e-13,0.0,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_conv.npy,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed2_20251127T024241Z_bestx.npy
CMT1,0,3,0.0,0.0,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_conv.npy,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_bestx.npy
CMT1,1,3,4.547473508864641e-13,0.0,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_conv.npy,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed3_20251127T024247Z_bestx.npy
CMT1,0,4,0.0,0.0,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_conv.npy,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_bestx.npy
CMT1,1,4,1.1368683772161603e-13,0.0,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_conv.npy,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_conv_cv.npy,results_CMT_all/CMT1/CMT1_seed4_20251127T024255Z_bestx.npy
CMT2,0,0,9.772656017759118e-09,0.0,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_conv.npy,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_bestx.npy
CMT2,1,0,1.1368683772161603e-13,0.0,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_conv.npy,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed0_20251127T024302Z_bestx.npy
CMT2,0,1,2.6741798553331364e-08,0.0,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_conv.npy,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_bestx.npy
CMT2,1,1,3.410605131648481e-13,0.0,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_conv.npy,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed1_20251127T024310Z_bestx.npy
CMT2,0,2,2.334701765249747e-09,0.0,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_conv.npy,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_bestx.npy
CMT2,1,2,0.0,0.0,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_conv.npy,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed2_20251127T024316Z_bestx.npy
CMT2,0,3,3.4905345280833444e-09,0.0,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_conv.npy,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_bestx.npy
CMT2,1,3,0.0,0.0,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_conv.npy,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed3_20251127T024322Z_bestx.npy
CMT2,0,4,1.8940220503083083e-08,0.0,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_conv.npy,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_bestx.npy
CMT2,1,4,3.979039320256561e-13,0.0,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_conv.npy,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_conv_cv.npy,results_CMT_all/CMT2/CMT2_seed4_20251127T024330Z_bestx.npy
